計劃年度,主持人,執行機關,計劃名稱,執行起迄,核定金額
"102","于曉平","國立臺中教育大學","國立臺中教育大學特殊教育學系(含碩士班、碩士在職專班)","障礙vs.性別－探討具大學學歷之身心障礙女性生涯發展歷程與困境(GM01)(II-I)","2013/08/01~2014/07/31","538000"
"102","于富雲","國立成功大學","國立成功大學教育研究所","網路學生出題目卷學習系統：建置、教學適用性與學習效益","2013/08/01~2016/07/31","4657000"
"102","于志嘉","國立成功大學","中央研究院歷史語言研究所","明代的軍戶","2013/08/01~2016/07/31","2575000"
"102","亞榴申娜","國立政治大學","國立政治大學斯拉夫語文學系","二十一世紀初期後蘇聯場域的語言與文化建設（俄羅斯、烏克蘭、白俄羅斯、摩爾達維亞、亞塞拜然、中亞共和國、高加索及波羅的海地區）","2013/08/01~2014/07/31","236000"
"102","今榮東洋子","國立臺灣科技大學","國立臺灣科技大學應用科技研究所","發展功能化碳材料及其於綠能工程之應用","2013/08/01~2014/07/31","1320000"
"102","仲曉玲","國立成功大學","國立成功大學創意產業設計研究所","創意影音產業之人才網絡研究: 以兩岸影視內容生產合作為觀點之探討","2013/08/01~2014/07/31","404000"
"102","任明華","國立中山大學","國立中山大學機械與機電工程學系（所）","含單邊及雙邊裂縫之鋁合金薄板與碳纖維/聚醚醚酮異向性複材積層板承受疲勞負載其裂縫延伸速率與殘留壽命之理論預測及實驗驗證","2013/08/01~2014/07/31","1475000"
"102","任春平","國立中正大學","國立中正大學機械工程學系","以數值方法探討斷層結構對二氧化碳地質封存傳輸之影響","2013/01/01~2013/12/31","460000"
"102","任春平","國立中正大學","國立中正大學機械工程學系","利用奈米電動力濃縮之高靈敏度多重生物標誌抗體探測晶片的開發(2/3)","2013/08/01~2014/07/31","811000"
"102","任才俊","崑山科技大學","崑山科技大學資訊工程系","智慧型太陽追蹤及發電監測系統(II)","2013/08/01~2014/07/31","344000"
"102","任恒毅","元智大學","元智大學工業工程與管理學系（所）","一個結合差分進化演算法與最佳計算資源分配於估計醫院加護病房服務滿意度模擬相關參數之方法","2013/08/01~2014/07/31","500000"
"102","任慶儀","國立臺中教育大學","國立臺中教育大學教育學系(含學士班、碩士班、課程與教學碩士班在職專班、教育行政與管理碩士在職專班、博士班)","運用電算器提昇國小高年級學生解題能力教學與活動之開發研究","2013/08/01~2014/07/31","301000"
"102","任麗華","中原大學","中原大學特殊教育學系","「探索體驗式」與「動手操作式」學習模式對提升國小ADHD學童注意力與自然科學學習興趣成效之研究","2013/08/01~2014/07/31","400000"
"102","任維廉","國立交通大學","國立交通大學運輸科技與管理學系（所）","探討廣告框架對消費者評估環保商品之影響:調節焦點和環保意識的調節效果","2013/08/01~2014/07/31","751000"
"102","任貽均","國立臺北科技大學","國立臺北科技大學光電工程系（所）","運用超穎材料之製鍍技術於新穎光學元件之開發","2013/08/01~2016/07/31","4267000"
"102","任益民","國立臺北科技大學","國防醫學院放射腫瘤學科","鼻咽癌病人因治療引發之腦神經病變之研究以及說話障礙及吞嚥困難診斷與治療方式之探討","2013/08/01~2014/07/31","800000"
"102","任立中","國立臺灣大學","國立臺灣大學國際企業學系暨研究所","名人代言廣告之效益研究","2013/08/01~2015/07/31","1284000"
"102","任金剛","國立中山大學","國立中山大學人力資源管理研究所","員工建言行為：概念建構與量表發展","2013/08/01~2014/07/31","664000"
"102","任志強","國立雲林科技大學","國立雲林科技大學機械工程系暨研究所","仿龍捲風式新型氣壓真空產生器研發","2013/08/01~2014/07/31","518000"
"102","任志強","國立雲林科技大學","國立雲林科技大學機械工程系暨研究所","行動裝置數位相機濾片無接觸式吸附裝置開發","2013/11/01~2014/10/31","426000"
"102","任志宏","龍華科技大學","龍華科技大學資訊管理系","整合電腦斷層、心電圖及生理指標架構心臟疾病之預警監控系統(II)","2013/08/01~2014/07/31","568000"
"102","任志宏","龍華科技大學","龍華科技大學資訊管理系","架構糖尿病及相關併發症之即時監控系統","2013/06/01~2014/05/31","187000"
"102","任建台","龍華科技大學","中央研究院基因體研究中心","(子計畫三)發展克雷伯氏肺炎桿菌醣莢膜與攜帶蛋白接合的新方法(3/3)","2013/05/01~2014/04/30","2720000"
"102","伊伏啟子","靜宜大學","靜宜大學日本語文學系","19世紀漢語標音符號研究：以《上海土音字寫法》（1855）為例","2013/08/01~2015/07/31","389000"
"102","伊林","國立中央大學","國立中央大學物理學系","微粒電漿超冷液體與微粒聲紊波非線性動力行為研究","2013/08/01~2016/07/31","7382000"
"102","伍茂仁","國立中央大學","國立中央大學光電科學與工程學系","以矽基垂直分岔波導光路實現具單一雷射光源且多重輸出通道之單晶片光連接模組","2013/08/01~2014/07/31","1248000"
"102","伍焜玉","中國醫藥大學","中國醫藥大學附設醫院醫學研究部","探討新穎色胺酸代謝物對於正常及癌細胞COX-2表現的調控(1/5)","2013/08/01~2014/07/31","6000000"
"102","伍焜玉","中國醫藥大學","財團法人國家衛生研究院細胞及系統醫學研究所","Eicosanoids在幹細胞之功能及治療研究--總計畫暨子計畫一(3/3)","2013/10/01~2014/09/30","6600000"
"102","伍朝欽","國立彰化師範大學","國立彰化師範大學資訊工程學系","生物資訊演算法在GPU高速執行之研究","2013/08/01~2014/07/31","587000"
"102","伍素瑩","國立彰化師範大學","財團法人國家衛生研究院生技與藥物研究所","Indoleamine 2,3-dioxygenase(IDO)抑制劑的藥物設計(3/3)","2013/05/01~2014/04/30","2534000"
"102","伍振勳","國立臺灣大學","國立臺灣大學中國文學系暨研究所","先秦儒學「誠」論文本的解讀問題","2013/08/01~2014/07/31","394000"
"102","伍紹勳","國立交通大學","國立交通大學電機工程學系（所）","子計畫二：60GHz中使用雙重極化天線陣列之混合式波束形成與前置編碼技術(3/3)","2013/05/01~2014/07/31","895000"
"102","伍安怡","國立臺灣大學","國立臺灣大學醫學院免疫學研究所","以DC-SIGN基因轉殖鼠動物模式研究傳染性疾病(2/3)","2013/08/01~2014/07/31","1800000"
"102","伍麗樵","國立雲林科技大學","國立雲林科技大學資訊工程系暨研究所","網宇實體系統感測節點之安全資訊交換機制","2013/08/01~2014/07/31","686000"
"102","伍台國","國防大學","國防大學資訊管理學系","具節能效率之無線感測網路多工接取技術之研究","2013/08/01~2014/07/31","471000"
"102","佐藤將之","國立臺灣大學","國立臺灣大學哲學系暨研究所","日韓荀學轉變的比較研究","2013/08/01~2014/07/31","579000"
"102","何一梵","國立新竹教育大學","國立新竹教育大學英語教學系","從有限到無限：以莎士比亞劇作的軌跡，探討現代觀眾的形成","2013/08/01~2014/07/31","513000"
"102","何耀錦","國立新竹教育大學","中央研究院原子與分子科學研究所","電漿內原子碰撞及共振之探討","2013/08/01~2014/07/31","1199000"
"102","何清華","國立臺灣科技大學","國立臺灣科技大學應用科技研究所","簡便實用之半導體發光參數與光譜測定儀","2013/11/01~2014/10/31","660000"
"102","何嘉仁","國立臺灣師範大學","國立臺灣師範大學化學系（所）","以理論計算方法探討高活性金屬奈米團簇與石墨烯在催化反應上的應用","2013/08/01~2017/07/31","5900000"
"102","何蘊芳","國立臺灣大學","國立臺灣大學醫學院臨床藥學研究所","Amiodarone引致肝傷害之研究：從基礎至臨床的探討","2013/08/01~2014/07/31","850000"
"102","何國川","國立臺灣大學","國立臺灣大學化學工程學系暨研究所","半固態染料敏化太陽能電池:探索電子傳遞動力學與關鍵材料","2013/08/01~2016/07/31","3065000"
"102","何國川","國立臺灣大學","國立臺灣大學化學工程學系暨研究所","研製含普魯士藍奈米粒子之節能電致色變元件","2013/08/01~2015/07/31","2535000"
"102","何國賢","國立高雄應用科技大學","國立高雄應用科技大學化學工程與材料工程系","各式聚苯胺寡聚合物的合成和鑑定及其作為還原劑還原銀金屬用於矽太陽能電池電極的研究","2013/08/01~2014/07/31","833000"
"102","何明字","國立成功大學","國立成功大學工程科學系（所）","全向移動機器人之二維自由度倒單擺追蹤控制","2013/08/01~2014/07/31","700000"
"102","何明宗","國立高雄師範大學","國立高雄師範大學物理系（所）","應用非線性同步論於阿茲海默症病患之研究","2013/08/01~2014/07/31","985000"
"102","何明果","大同大學","大同大學機械工程學系","智慧型機器人載具系統開發","2013/08/01~2014/07/31","734000"
"102","何明泉","國立雲林科技大學","國立雲林科技大學工業設計系暨研究所","設計價值創造與傳遞之研究(I)","2013/08/01~2014/07/31","527000"
"102","何明蓉","國立臺灣大學","國立臺灣大學醫學院社會醫學科","跨專業素養之養成、困境、教學與評估： 跨國比較研究","2013/08/01~2018/07/31","10000000"
"102","何明志","國立臺灣大學","國立臺灣大學醫學院外科","子計畫四：微創手術資訊整合與療程規劃系統(2/3)","2013/08/01~2014/07/31","727000"
"102","何明華","國立彰化師範大學","國立彰化師範大學電信工程學研究所","基板合成波導結構之平衡式帶通濾波電路、雙工電路與3-dB 方向耦合器之設計(II)","2013/08/01~2014/07/31","612000"
"102","何小曼","國立臺北教育大學","國立臺北教育大學自然科學教育學系含博士班","台灣被孢毛黴屬之系統分類研究(II)","2013/08/01~2014/07/31","721000"
"102","何縕琪","慈濟學校財團法人慈濟大學","慈濟學校財團法人慈濟大學師資培育中心","提升大專生公民素養之公民行動取向服務—學習研究","2013/08/01~2014/07/31","575000"
"102","何弘能","國立臺灣大學","國立臺灣大學醫學院婦產科","從多能性幹細胞到生殖細胞:調控多能性幹細胞與培育環境來促進其發育為生殖細胞--總計畫暨子計畫一(3/3)","2013/10/01~2014/09/30","3688000"
"102","何思慎","輔仁大學","輔仁大學學校財團法人輔仁大學日本語文學系（所）","東亞海域爭端對日「中」關係影響之研究","2013/08/01~2015/07/31","916000"
"102","何怡慧","長榮大學","長榮大學國際企業系","兩岸採購人員對於採購社會責任的態度 - 同儕行為及工作快樂感的影響","2013/08/01~2014/07/31","336000"
"102","何漢彰","吳鳳學校財團法人吳鳳科技大學","吳鳳學校財團法人吳鳳科技大學應用數位媒體系（所）","安全服務等級之WiMAX網狀網路傳輸排程最佳化","2013/08/01~2014/07/31","487000"
"102","何春玲","高苑科技大學","高苑科技大學資訊管理系","科技模型應用於營建安全教育之實證研究-導入3D虛擬實境系統","2013/08/01~2014/07/31","400000"
"102","何天讚","中原大學","中原大學電機工程學系","探索多種新型的混合式系統架構的智慧型狀態估測方法來強化無線行動定位效能","2013/08/01~2014/07/31","460000"
"102","何中良","國立成功大學","國立成功大學醫學系病理學科","藉由測量細胞中lin28b mRNA含量做為血液中肝癌腫瘤幹細胞之指標(2/2)","2013/05/01~2014/04/30","1620000"
"102","何昭慶","國立雲林科技大學","國立雲林科技大學機械工程系暨研究所","皮秒脈衝雷射應用於超精微鑽孔之系統建置(1/2)","2013/11/01~2014/10/31","913000"
"102","何昭慶","國立雲林科技大學","國立雲林科技大學機械工程系暨研究所","融合視覺與電場訊號的磁場輔助雷射微加工與狀態診斷系統","2013/08/01~2014/07/31","692000"
"102","何振隆","國立雲林科技大學","行政院農業委員會林業試驗所木材纖維組","多種高沸點醇製備銀合歡漿料、動力學推導及廢液回收應用之研究","2013/08/01~2014/07/31","640000"
"102","何昶鴛","朝陽科技大學","朝陽科技大學休閒事業管理系（所）","行動上網使用者旅遊資訊搜尋行為模式之建構","2013/08/01~2014/07/31","343000"
"102","何樹環","國立中山大學","國立中山大學中國文學系（所）","東周銅器稱名及其時代、地域綜合研究","2013/08/01~2014/07/31","373000"
"102","何主亮","逢甲大學","逢甲大學材料科學與工程學系","以高功率脈衝磁控濺鍍開發高耐久性及電磁遮蔽之機能性紡織品","2013/08/01~2014/07/31","1118000"
"102","何政坤","逢甲大學","行政院農業委員會林業試驗所育林組","泡桐抗簇葉病基因相關微衛星分子標誌之研發","2013/08/01~2016/07/31","3360000"
"102","何政恩","元智大學","元智大學化學工程與材料科學學系（所）","高階電路板技術深耕及人才培育發展計畫(1/3)","2013/02/01~2014/01/31","1389000"
